metric,market,unit,2024,2025,2026,2027,source,confidence,notes
cpi_pct_yoy,UK,%,2.5,3.5,2.5,2.0,OBR Nov 2025,high,"Inflation elevated through 2025 from energy + water bill rises"
cpi_pct_yoy,US,%,2.9,2.7,2.4,2.1,FOMC Sep 2025,high,"Projection toward 2% target by 2027"
cpi_pct_yoy,PL,%,3.8,3.4,2.9,3.7,"EC / NBP Nov 2025",high,"2027 uptick driven by ETS2 energy pass-through"
fx_gbp_per_unit,USD,GBP/USD,0.788,0.780,0.750,0.750,BoE,high,"USD strength held through 2025"
fx_gbp_per_unit,PLN,GBP/PLN,0.198,0.210,0.215,0.215,NBP quarterly avg,high,"PLN weakened against GBP 2024-2025"
fx_gbp_per_unit,EUR,GBP/EUR,0.855,0.850,0.850,0.850,BoE,high,"Reference only"
population_families_with_dep_children,UK,millions,8.3,8.3,8.3,8.3,ONS 2024,high,"42.3% of 19.5M UK families"
population_families_with_children_10_16,UK,millions,3.9,3.9,3.9,3.9,"ONS derived (est. 47%)",medium,"Assumption: ~47% of families with dependent children have at least one aged 10-16"
population_separated_families,UK,millions,2.5,2.5,2.5,2.5,DWP Separated Families Stats 2024,high,"UK separated families with child under 20 in education"
population_separated_CMS_litigation,UK,millions,0.65,0.65,0.65,0.65,"DWP + MoJ derived",medium,"~26% of separated families use CMS; subset use court"
population_families_with_children_10_16,US,millions,16.5,16.5,16.5,16.5,US Census derived,medium,"~26M families with kids under 18; ~63% have at least one 10-16"
population_separated_families,US,millions,10.9,10.9,10.9,10.9,US Census 2022 CPS,high,"One-parent family groups with child under 18"
population_separated_litigation,US,millions,2.2,2.2,2.2,2.2,"Derived — ~20% with active custody orders",medium,"Rough estimate"
population_families_with_children_10_16,PL,millions,2.1,2.1,2.1,2.1,"GUS NSP2021 derived",medium,"~5.4M families; ~39% have school-age kids"
population_separated_families,PL,millions,0.55,0.55,0.55,0.55,"GUS divorce register derived",medium,"Rough estimate"
income_abc1_pct,UK,%,54,54,54,54,NRS,medium,"ABC1 social grade share of adult population (dated to ~2016 but stable)"
income_c2de_pct,UK,%,46,46,46,46,NRS,medium,""
income_ab_pct,US,%,30,30,30,30,Pew derived,medium,"Upper-middle + upper income households"
income_c_pct,US,%,50,50,50,50,Pew,medium,"Middle income"
income_de_pct,US,%,20,20,20,20,Pew,medium,"Lower income"
income_c_pct,PL,%,35,35,35,35,GUS derived,medium,"Middle income band"
target_sam_abc1_digital_engaged_pct,UK,%,20,20,20,20,Analyst assumption,low,"% of ABC1 families that are digitally engaged AND open to paid family apps"
target_sam_ab_digital_engaged_pct,US,%,22,22,22,22,Analyst assumption,low,""
target_sam_bc1_digital_engaged_pct,PL,%,15,15,15,15,Analyst assumption,low,"Lower given thin market; higher PPP sensitivity"
shield_sam_bc1_litigation_pct,UK,%,35,35,35,35,Analyst assumption,low,"% of B/C1 separated families with active legal friction willing to pay one-time"
shield_sam_bc1_litigation_pct,US,%,30,30,30,30,Analyst assumption,low,""
shield_sam_bc1_litigation_pct,PL,%,20,20,20,20,Analyst assumption,low,"Lower legal-tech adoption"
