sku,market,income_band,price_point_local,price_point_gbp,competitor_3yr_equiv_gbp,relative_price_vs_3yr_comp,base_conversion_rate_pct,elasticity_coefficient,adjusted_conversion_rate_pct,addressable_households,expected_buyers,revenue_gbp,notes
Complete,UK,A/B,19.99,19.99,215.64,0.093,18.0,-1.4,23.4,780000,182520,3648574,"3yr equiv = GoHenry Everyday £47.88 x 3 yrs + Max £119.88 × 1.8 = £215.64"
Complete,UK,A/B,29.99,29.99,215.64,0.139,16.5,-1.4,19.3,780000,150540,4514694,"Anchored below £34.99 target"
Complete,UK,A/B,34.99,34.99,215.64,0.162,15.0,-1.4,17.1,780000,133380,4666968,"Knowledge base current anchor"
Complete,UK,A/B,44.99,44.99,215.64,0.209,13.0,-1.4,13.6,780000,106080,4772479,"Revenue maximum zone"
Complete,UK,A/B,49.99,49.99,215.64,0.232,12.0,-1.4,11.9,780000,92820,4640070,"Rising objection at ~£50 psychological threshold"
Complete,UK,A/B,59.99,59.99,215.64,0.278,10.0,-1.4,8.8,780000,68640,4117910,"Crosses £50 threshold — conversion drops faster"
Complete,UK,A/B,79.99,79.99,215.64,0.371,7.5,-1.4,4.9,780000,38220,3057560,"Lifetime becoming a meaningful spend"
Complete,UK,A/B,99.99,99.99,215.64,0.464,5.0,-1.4,2.4,780000,18720,1871813,"Knee of elasticity curve"
Complete,US,A/B,29.99,23.39,215.64,0.108,17.5,-1.3,21.7,3630000,787710,18424428,"USD 29.99 = £23.39 at 2026 FX"
Complete,US,A/B,39.99,31.19,215.64,0.145,15.5,-1.3,17.6,3630000,638880,19926451,"Revenue maximum zone"
Complete,US,A/B,49.99,38.99,215.64,0.181,14.0,-1.3,14.6,3630000,529980,20663820,"Revenue peak — US less price-sensitive than UK"
Complete,US,A/B,59.99,46.79,215.64,0.217,12.5,-1.3,11.9,3630000,431970,20207931,"Marginal drop-off"
Complete,US,A/B,79.99,62.39,215.64,0.289,10.0,-1.3,7.9,3630000,286770,17895398,"Premium perception; still < 1yr OFW"
Complete,US,A/B,99.99,77.99,215.64,0.362,8.0,-1.3,5.4,3630000,196020,15289800,""
Complete,PL,B/C1,79.00,16.96,46.65,0.363,12.5,-1.6,6.7,315000,21105,357940,"3yr equiv = Gimi PLN 200 × 3 = PLN 600 (£128); but most PL kids apps are free, so comp baseline weaker"
Complete,PL,B/C1,99.00,21.26,46.65,0.456,11.0,-1.6,5.2,315000,16380,348183,"PL PPP-adjusted anchor"
Complete,PL,B/C1,129.00,27.69,46.65,0.594,9.0,-1.6,3.2,315000,10080,279117,""
Complete,PL,B/C1,149.00,31.98,46.65,0.685,7.5,-1.6,2.2,315000,6930,221593,""
Complete,PL,B/C1,199.00,42.70,46.65,0.915,5.0,-1.6,0.9,315000,2835,121054,""
Shield,UK,B/C1,79.99,79.99,431.97,0.185,22.0,-0.8,25.7,227500,58467,4677826,"3yr equiv = OFW Essentials £107.99 × 2 parents × 2 yrs = £431.97"
Shield,UK,B/C1,99.99,99.99,431.97,0.231,20.0,-0.8,22.1,227500,50287,5028169,"Below £100 psychological threshold"
Shield,UK,B/C1,124.99,124.99,431.97,0.289,17.5,-0.8,18.4,227500,41860,5231862,"Your original anchor"
Shield,UK,B/C1,149.00,149.00,431.97,0.345,15.5,-0.8,15.6,227500,35490,5288010,"Near elasticity-implied optimum"
Shield,UK,B/C1,179.00,179.00,431.97,0.414,13.0,-0.8,12.3,227500,27982,5008879,"Nominal revenue peak — but knee approaching"
Shield,UK,B/C1,199.00,199.00,431.97,0.461,11.5,-0.8,10.4,227500,23660,4708340,""
Shield,UK,B/C1,249.00,249.00,431.97,0.577,8.0,-0.8,6.5,227500,14787,3681975,"Over 50% of 2yr OFW — elasticity steepens"
Shield,UK,B/C1,299.00,299.00,431.97,0.692,5.5,-0.8,4.0,227500,9100,2720900,""
Shield,US,B/C1,129.00,100.62,353.16,0.285,23.5,-0.8,24.8,660000,163680,16460057,"3yr equiv = OFW Essentials $150 × 2 parents × 1.5yrs = ~$450 per household"
Shield,US,B/C1,179.00,139.62,353.16,0.395,19.0,-0.8,16.4,660000,108240,15118229,""
Shield,US,B/C1,199.00,155.22,353.16,0.440,17.5,-0.8,14.2,660000,93720,14546978,""
Shield,US,B/C1,249.00,194.22,353.16,0.550,13.5,-0.8,9.9,660000,65340,12690322,""
Shield,US,B/C1,299.00,233.22,353.16,0.660,10.0,-0.8,6.6,660000,43560,10157866,""
Shield,PL,B/C1,399.00,85.79,236.40,0.363,12.0,-1.0,7.7,110000,8470,726643,"3yr equiv = OFW forced FX; no native PL legal co-parent tool"
Shield,PL,B/C1,499.00,107.29,236.40,0.454,9.5,-1.0,5.2,110000,5720,613667,""
Shield,PL,B/C1,599.00,128.79,236.40,0.545,7.0,-1.0,3.2,110000,3520,453341,""
Shield,PL,B/C1,799.00,171.79,236.40,0.727,4.0,-1.0,1.1,110000,1210,207866,""
AI_Addon,UK,A/B,14.99,14.99,0,n/a,35.0,-1.1,35.0,133380,46683,699778,"Attach % of Complete buyers at baseline price; annual recurring"
AI_Addon,UK,A/B,19.99,19.99,0,n/a,32.0,-1.1,28.3,133380,37747,754360,"Current KB assumption"
AI_Addon,UK,A/B,24.99,24.99,0,n/a,28.0,-1.1,22.5,133380,30011,749975,"Revenue peak zone"
AI_Addon,UK,A/B,29.99,29.99,0,n/a,23.0,-1.1,17.1,133380,22809,683941,""
AI_Addon,UK,A/B,39.99,39.99,0,n/a,15.0,-1.1,9.2,133380,12271,490719,""
