sku,market,income_band,price_local,price_gbp,competitor_anchor_gbp,relative_anchor_ratio,y1_attach_rate_pct,assumed_annual_churn_pct,effective_3yr_avg_subs_pct,elasticity_coefficient,complete_buyer_base,y1_subs,y1_revenue_gbp,y3_cumulative_revenue_gbp,3yr_ltv_per_attach_gbp,notes
AI_Addon,UK,A/B,9.99,9.99,0,n/a,42.0,22,33.2,-1.1,106080,44554,445011,1108081,24.88,"Entry-level — designed for volume attach; well below Duolingo £7.99/mo annual equivalent"
AI_Addon,UK,A/B,14.99,14.99,0,n/a,35.0,25,30.4,-1.1,106080,37128,556549,1358701,36.60,"Cheaper than Greenlight Max differential ($59.88/yr extra)"
AI_Addon,UK,A/B,19.99,19.99,0,n/a,28.3,28,26.9,-1.1,106080,30020,600100,1438155,47.91,"KB current anchor; elasticity-adjusted from 32% base"
AI_Addon,UK,A/B,24.99,24.99,0,n/a,22.5,30,20.5,-1.1,106080,23868,596384,1411257,59.13,"Revenue peak zone"
AI_Addon,UK,A/B,29.99,29.99,0,n/a,17.1,33,14.4,-1.1,106080,18139,543915,1253961,69.13,"Knee visible"
AI_Addon,UK,A/B,34.99,34.99,0,n/a,13.0,36,9.9,-1.1,106080,13790,482500,1062800,77.07,"Attach rate collapse"
AI_Addon,UK,A/B,39.99,39.99,0,n/a,9.2,38,6.4,-1.1,106080,9759,390203,835120,85.58,"Only engaged parents"
AI_Addon,US,A/B,14.99,11.69,0,n/a,36.0,24,28.5,-1.1,529980,190793,2230374,5440032,28.51,"USD 14.99 at 2026 FX"
AI_Addon,US,A/B,19.99,15.59,0,n/a,30.0,26,24.9,-1.1,529980,158994,2478720,5928854,37.29,"Competitive with Greenlight Core monthly delta"
AI_Addon,US,A/B,24.99,19.49,0,n/a,24.5,28,19.7,-1.1,529980,129845,2530636,5948496,45.81,"Revenue peak"
AI_Addon,US,A/B,29.99,23.39,0,n/a,19.5,30,14.9,-1.1,529980,103346,2417260,5574923,53.94,"Knee"
AI_Addon,US,A/B,34.99,27.29,0,n/a,15.0,32,11.0,-1.1,529980,79497,2169664,4914366,61.82,""
AI_Addon,US,A/B,39.99,31.19,0,n/a,11.0,34,7.7,-1.1,529980,58298,1818346,4032878,69.18,""
AI_Addon,PL,B/C1,49.00,10.54,0,n/a,20.0,30,14.0,-1.1,21105,4221,44491,93403,22.13,"Entry-level PL — above free Khan Academy PL but below paid EdTech"
AI_Addon,PL,B/C1,69.00,14.84,0,n/a,16.0,32,10.6,-1.1,21105,3377,50107,103296,30.59,"Balanced PL launch price"
AI_Addon,PL,B/C1,89.00,19.13,0,n/a,12.0,34,7.4,-1.1,21105,2533,48466,98158,38.76,"Near elasticity-implied PL optimum"
AI_Addon,PL,B/C1,99.00,21.29,0,n/a,10.0,35,6.0,-1.1,21105,2110,44939,90236,42.77,""
AI_Addon,PL,B/C1,129.00,27.73,0,n/a,6.5,37,3.5,-1.1,21105,1372,38049,74117,54.02,""
AI_Addon,PL,B/C1,149.00,32.02,0,n/a,4.5,38,2.4,-1.1,21105,949,30397,58334,61.45,""
